date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:44:59	60733/60733	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2021:45:00%20GMT	https://form.jotform.com/232821168313451	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/232821168313451.html	(from )
03:44:59	148/148	---MCZ	200	added ('OK')	text/plain	date:Wed,%2025%20Oct%202023%2021:45:00%20GMT	https://form.jotform.com/robots.txt		(from )
03:45:01	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:01%20GMT	https://www.jotform.com/uploads/rafibit0791/form_files/DTMQA.6524e3bda5c8e5.67953410.png	C:/My%20Web%20Sites/teacher%20reg/www.jotform.com/uploads/rafibit0791/form_files/DTMQA.6524e3bda5c8e5.67953410.1.delayed	(from https://form.jotform.com/232821168313451)
03:45:01	2730/2730	---M--	200	added ('OK')	image/png	etag:%2265183843-aaa%22	https://cdn.jotfor.ms/assets/img/favicons/favicon-2021-light%402x.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/favicons/favicon-2021-light@2x.png	(from https://form.jotform.com/232821168313451)
03:45:01	366988/366988	---MC-	200	added ('OK')	image/png	date:Wed,%2025%20Oct%202023%2021:45:02%20GMT	https://files.jotform.com/jufs/rafibit0791/form_files/DTMQA.6524e3bda5c8e5.67953410.png?md5=vQ5jW5ty-HaRdFgdBrXHMw&expires=1698270311	C:/My%20Web%20Sites/teacher%20reg/files.jotform.com/jufs/rafibit0791/form_files/DTMQA.6524e3bda5c8e5.6795341027c9.png	(from https://form.jotform.com/232821168313451)
03:45:02	70/70	---M--	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:03%20GMT	https://form.jotform.com/favicon-2021-light%402x.png	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/favicon-2021-light@2x.4.delayed	(from https://form.jotform.com/232821168313451)
03:45:02	3821/3821	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:03%20GMT	https://cdn.jotfor.ms/favicon-2021-light@2x.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/favicon-2021-light@2x.png	(from https://form.jotform.com/232821168313451)
03:45:03	69/69	---M--	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:04%20GMT	https://form.jotform.com/favicon-2021-dark%402x.png	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/favicon-2021-dark@2x.6.delayed	(from https://form.jotform.com/232821168313451)
03:45:03	3821/3821	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:04%20GMT	https://cdn.jotfor.ms/favicon-2021-dark@2x.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/favicon-2021-dark@2x.png	(from https://form.jotform.com/232821168313451)
03:45:04	2486/2486	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Oct%202023%2021:45:05%20GMT	https://cdn01.jotfor.ms/themes/CSS/form-common.css?v=f742554	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/themes/CSS/form-commonaa20.css	(from https://form.jotform.com/232821168313451)
03:45:05	502512/502512	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Oct%202023%2021:45:05%20GMT	https://cdn02.jotfor.ms/themes/CSS/defaultV2.css?v=f742554	C:/My%20Web%20Sites/teacher%20reg/cdn02.jotfor.ms/themes/CSS/defaultV2aa20.css	(from https://form.jotform.com/232821168313451)
03:45:05	7402/7402	---MCZ	200	added ('OK')	text/css	etag:W/%2284e99cfef671e557dab85d526f0cb57f%22	https://cdn03.jotfor.ms/themes/CSS/548b1325700cc48d318b4567.css?v=3.3.46303&themeRevisionID=64ff099762313412041c01ae	C:/My%20Web%20Sites/teacher%20reg/cdn03.jotfor.ms/themes/CSS/548b1325700cc48d318b45677db9.css	(from https://form.jotform.com/232821168313451)
03:45:06	69881/69881	---MCZ	200	added ('OK')	text/css	etag:W/%22652e7116-110f9%22	https://cdn01.jotfor.ms/css/styles/payment/payment_styles.css?3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/css/styles/payment/payment_styles0fdb.css	(from https://form.jotform.com/232821168313451)
03:45:06	22928/22928	---MCZ	200	added ('OK')	text/css	etag:W/%22651a860a-5990%22	https://cdn02.jotfor.ms/css/styles/payment/payment_feature.css?3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn02.jotfor.ms/css/styles/payment/payment_feature0fdb.css	(from https://form.jotform.com/232821168313451)
03:45:06	8541/8541	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Oct%202023%2021:44:30%20GMT	https://cdn03.jotfor.ms/stylebuilder/donationBox.css?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn03.jotfor.ms/stylebuilder/donationBoxb5cf.css	(from https://form.jotform.com/232821168313451)
03:45:06	129330/129330	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226536f309-1f932%22	https://cdn01.jotfor.ms/static/prototype.forms.js?3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/static/prototype.forms0fdb.js	(from https://form.jotform.com/232821168313451)
03:45:07	605754/605754	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2265390fd2-93e3a%22	https://cdn02.jotfor.ms/static/jotform.forms.js?3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn02.jotfor.ms/static/jotform.forms0fdb.js	(from https://form.jotform.com/232821168313451)
03:45:08	2754/2754	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264f9b946-ac2%22	https://cdn03.jotfor.ms//js/punycode-1.4.1.min.js	C:/My%20Web%20Sites/teacher%20reg/cdn03.jotfor.ms/js/punycode-1.4.1.min.js	(from https://form.jotform.com/232821168313451)
03:45:08	91699/91699	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644a9d8a-16633%22	https://cdn01.jotfor.ms/js/vendor/jquery-1.8.0.min.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/js/vendor/jquery-1.8.0.minb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:08	93824/93824	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644a9d8a-16e80%22	https://cdn02.jotfor.ms/js/vendor/maskedinput.min.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn02.jotfor.ms/js/vendor/maskedinput.minb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:09	4388/4388	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644a9d8a-1124%22	https://cdn03.jotfor.ms/js/vendor/jquery.maskedinput.min.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn03.jotfor.ms/js/vendor/jquery.maskedinput.minb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:09	16767/16767	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644a9d8a-417f%22	https://cdn01.jotfor.ms/js/vendor/imageinfo.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/js/vendor/imageinfob5cf.js	(from https://form.jotform.com/232821168313451)
03:45:09	62250/62250	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2265366e4a-f32a%22	https://cdn02.jotfor.ms/file-uploader/fileuploader.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn02.jotfor.ms/file-uploader/fileuploaderb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:09	710/710	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264bfaf92-2c6%22	https://cdn03.jotfor.ms/js/payments/validategateways.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn03.jotfor.ms/js/payments/validategatewaysb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:09	357913/357913	---MCZ	200	added ('OK')	text/javascript	etag:W/%22380cc96e4ff33014bcc6640ac81b0029%22	https://cdn01.jotfor.ms/s/umd/3be9e346e02/for-form-branding-footer.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn01.jotfor.ms/s/umd/3be9e346e02/for-form-branding-footerb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:10	5056/5056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644a9d8a-13c0%22	https://cdn.jotfor.ms//js/vendor/smoothscroll.min.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/js/vendor/smoothscroll.minb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:13	6348/6348	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264db677e-18cc%22	https://cdn.jotfor.ms//js/errorNavigation.js?v=3.3.46303	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/js/errorNavigationb5cf.js	(from https://form.jotform.com/232821168313451)
03:45:13	489/489	---M--	200	added ('OK')	image/png	etag:%22644a9d8a-1e9%22	https://cdn.jotfor.ms/images/exclamation-octagon.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/images/exclamation-octagon.png	(from https://cdn01.jotfor.ms/css/styles/payment/payment_styles.css?3.3.46303)
03:45:13	396/396	---M--	200	added ('OK')	image/png	etag:%2265183844-18c%22	https://cdn.jotfor.ms/assets/img/payments/product_delete.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/payments/product_delete.png	(from https://cdn01.jotfor.ms/css/styles/payment/payment_styles.css?3.3.46303)
03:45:13	1052/1052	---M--	200	added ('OK')	image/png	etag:%2265183844-41c%22	https://cdn.jotfor.ms/assets/img/payments/product_settings.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/payments/product_settings.png	(from https://cdn01.jotfor.ms/css/styles/payment/payment_styles.css?3.3.46303)
03:45:13	771/771	---M--	200	added ('OK')	image/png	etag:%2265183844-303%22	https://cdn.jotfor.ms/assets/img/payments/product_drag.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/payments/product_drag.png	(from https://cdn01.jotfor.ms/css/styles/payment/payment_styles.css?3.3.46303)
03:45:14	1198/1198	---M--	200	added ('OK')	image/png	etag:%2265183843-4ae%22	https://cdn.jotfor.ms/assets/img/builder/search_icon.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/builder/search_icon.png	(from https://cdn02.jotfor.ms/css/styles/payment/payment_feature.css?3.3.46303)
03:45:14	794/794	---M--	200	added ('OK')	image/png	etag:%2265183844-31a%22	https://cdn.jotfor.ms/assets/img/payments/sort_icon.png	C:/My%20Web%20Sites/teacher%20reg/cdn.jotfor.ms/assets/img/payments/sort_icon.png	(from https://cdn02.jotfor.ms/css/styles/payment/payment_feature.css?3.3.46303)
03:45:15	57/57	---MCZ	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:16%20GMT	https://form.jotform.com/AppleWebKit/	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/AppleWebKit/index.html	(from https://cdn01.jotfor.ms/static/prototype.forms.js?3.3.46303)
03:45:16	55/55	---MCZ	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:17%20GMT	https://form.jotform.com/submit.php	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/submit.20.delayed	(from https://cdn02.jotfor.ms/static/jotform.forms.js?3.3.46303)
03:45:16	55/55	---MCZ	302	error ('Found')	text/html	date:Wed,%2025%20Oct%202023%2021:45:17%20GMT	https://form.jotform.com/server.php	C:/My%20Web%20Sites/teacher%20reg/form.jotform.com/server.21.delayed	(from https://cdn02.jotfor.ms/static/jotform.forms.js?3.3.46303)
